stageNum,categoryname,ImageName,DropColorCount,EndingAnimationNum
3,Level3,Ascetic,1,1
3,Level3,yellow_bird,1,1
3,Level3,Rock,1,1
3,Level3,saw,1,1
3,Level3,big-crate,1,1
3,Level3,cactus,1,1
3,Level3,cake,1,1
3,Level3,candy-apple,1,1
3,Level3,chameleon,1,1
3,Level3,chewing-gum,1,1
3,Level3,chicken,1,1
3,Level3,chocolate-bar,1,1
3,Level3,cotton-candy,1,1
3,Level3,cookie,1,1
3,Level3,cream-cookie,1,1
3,Level3,cupcake,1,1
3,Level3,donnut,1,1
3,Level3,door,1,1
3,Level3,dutch-pie,1,1
3,Level3,eclair,1,1
3,Level3,frog,1,1
3,Level3,ghost,1,1
3,Level3,gingerbread-man,1,1
3,Level3,gum-drops,1,1
3,Level3,gummy-bear,1,1
3,Level3,heart-lollipop,1,1
3,Level3,ice-cream,1,1
3,Level3,jelly,1,1
3,Level3,lollipop,1,1
3,Level3,macaron,1,1
3,Level3,Mario,1,1
3,Level3,mask_man,1,1
3,Level3,milkshake,1,1
3,Level3,muffin,1,1
3,Level3,ninja_frog,1,1
3,Level3,pig,1,1
3,Level3,plant,1,1
3,Level3,popsicle,1,1
3,Level3,snail,1,1
3,Level3,sugar-candy,1,1
3,Level3,sweet-roll,1,1
3,Level3,swiss-roll,1,1
